date,observed [m3/s],run_shifted [m3/s],run_biased [m3/s]
2000-05-09,8.1288,8.0888,9.6288
2000-05-10,8.1405,8.1073,9.6405
2000-05-11,8.3141,8.3045,9.8141
2000-05-12,8.3262,8.1288,9.8262
2000-05-13,8.5872,8.1405,10.0872
2000-05-14,8.3671,8.3141,9.8671
2000-05-15,9.0958,8.3262,10.5958
2000-05-16,8.9364,8.5872,10.4364
2000-05-17,8.6119,8.3671,10.1119
2000-05-18,8.7419,9.0958,10.2419
2000-05-19,8.8643,8.9364,10.3643
2000-05-20,8.9230,8.6119,10.4230
2000-05-21,8.7744,8.7419,10.2744
2000-05-22,9.3988,8.8643,10.8988
2000-05-23,9.5567,8.9230,11.0567
2000-05-24,9.1767,8.7744,10.6767
2000-05-25,9.2317,9.3988,10.7317
2000-05-26,8.9531,9.5567,10.4531
2000-05-27,9.0049,9.1767,10.5049
2000-05-28,9.2351,9.2317,10.7351
2000-05-29,9.2096,8.9531,10.7096
2000-05-30,9.6967,9.0049,11.1967
2000-05-31,9.1975,9.2351,10.6975
2000-06-01,9.1206,9.2096,10.6206
2000-06-02,9.8957,9.6967,11.3957
2000-06-03,9.5892,9.1975,11.0892
2000-06-04,9.3145,9.1206,10.8145
2000-06-05,9.6613,9.8957,11.1613
2000-06-06,9.2769,9.5892,10.7769
2000-06-07,9.7051,9.3145,11.2051
2000-06-08,10.0918,9.6613,11.5918
2000-06-09,10.0248,9.2769,11.5248
2000-06-10,9.9152,9.7051,11.4152
2000-06-11,9.5902,10.0918,11.0902
2000-06-12,9.6965,10.0248,11.1965
2000-06-13,9.5576,9.9152,11.0576
2000-06-14,10.0611,9.5902,11.5611
2000-06-15,9.8881,9.6965,11.3881
2000-06-16,10.1026,9.5576,11.6026
2000-06-17,9.7593,10.0611,11.2593
2000-06-18,9.6890,9.8881,11.1890
2000-06-19,10.1737,10.1026,11.6737
2000-06-20,10.3252,9.7593,11.8252
2000-06-21,10.2309,9.6890,11.7309
2000-06-22,10.2040,10.1737,11.7040
2000-06-23,10.2231,10.3252,11.7231
2000-06-24,10.1683,10.2309,11.6683
2000-06-25,9.7647,10.2040,11.2647
2000-06-26,10.0031,10.2231,11.5031
2000-06-27,9.8780,10.1683,11.3780
2000-06-28,9.6200,9.7647,11.1200
2000-06-29,9.6213,10.0031,11.1213
2000-06-30,9.8235,9.8780,11.3235
2000-07-01,9.8071,9.6200,11.3071
2000-07-02,10.1523,9.6213,11.6523
2000-07-03,10.3609,9.8235,11.8609
2000-07-04,9.9497,9.8071,11.4497
2000-07-05,10.3366,10.1523,11.8366
2000-07-06,10.3713,10.3609,11.8713
2000-07-07,10.3376,9.9497,11.8376
2000-07-08,9.8571,10.3366,11.3571
2000-07-09,9.7330,10.3713,11.2330
2000-07-10,9.7303,10.3376,11.2303
2000-07-11,9.7035,9.8571,11.2035
2000-07-12,9.7218,9.7330,11.2218
2000-07-13,10.1043,9.7303,11.6043
2000-07-14,10.4399,9.7035,11.9399
2000-07-15,10.6190,9.7218,12.1190
2000-07-16,10.7115,10.1043,12.2115
2000-07-17,11.3976,10.4399,12.8976
2000-07-18,12.1788,10.6190,13.6788
2000-07-19,12.2655,10.7115,13.7655
2000-07-20,13.2121,11.3976,14.7121
2000-07-21,13.5772,12.1788,15.0772
2000-07-22,13.2615,12.2655,14.7615
2000-07-23,12.7019,13.2121,14.2019
2000-07-24,11.7778,13.5772,13.2778
2000-07-25,10.8264,13.2615,12.3264
2000-07-26,10.7198,12.7019,12.2198
2000-07-27,9.9255,11.7778,11.4255
2000-07-28,10.0255,10.8264,11.5255
2000-07-29,10.0000,10.7198,11.5000
2000-07-30,9.4452,9.9255,10.9452
2000-07-31,9.3901,10.0255,10.8901
2000-08-01,9.7819,10.0000,11.2819
2000-08-02,9.5651,9.4452,11.0651
2000-08-03,9.0832,9.3901,10.5832
2000-08-04,9.0105,9.7819,10.5105
2000-08-05,8.9905,9.5651,10.4905
2000-08-06,9.5534,9.0832,11.0534
2000-08-07,9.4336,9.0105,10.9336
2000-08-08,8.8633,8.9905,10.3633
2000-08-09,9.3646,9.5534,10.8646
2000-08-10,9.4438,9.4336,10.9438
2000-08-11,9.1406,8.8633,10.6406
2000-08-12,8.8494,9.3646,10.3494
2000-08-13,8.9615,9.4438,10.4615
2000-08-14,8.5800,9.1406,10.0800
2000-08-15,8.4383,8.8494,9.9383
2000-08-16,9.1545,8.9615,10.6545
2000-08-17,8.8476,8.5800,10.3476
2000-08-18,8.6984,8.4383,10.1984
2000-08-19,8.9725,9.1545,10.4725
2000-08-20,8.5204,8.8476,10.0204
2000-08-21,8.8177,8.6984,10.3177
2000-08-22,8.7274,8.9725,10.2274
2000-08-23,8.1808,8.5204,9.6808
2000-08-24,8.1582,8.8177,9.6582
2000-08-25,8.1351,8.7274,9.6351
2000-08-26,8.0366,8.1808,9.5366
2000-08-27,8.2560,8.1582,9.7560
2000-08-28,7.9364,8.1351,9.4364
2000-08-29,8.0056,8.0366,9.5056
2000-08-30,7.7160,8.2560,9.2160
2000-08-31,8.2794,7.9364,9.7794
2000-09-01,7.7741,8.0056,9.2741
2000-09-02,7.7967,7.7160,9.2967
2000-09-03,7.8354,8.2794,9.3354
2000-09-04,8.0301,7.7741,9.5301
2000-09-05,7.5807,7.7967,9.0807
2000-09-06,7.9154,7.8354,9.4154
2000-09-07,7.5191,8.0301,9.0191
2000-09-08,7.4794,7.5807,8.9794
2000-09-09,7.4084,7.9154,8.9084
2000-09-10,6.9398,7.5191,8.4398
2000-09-11,7.2119,7.4794,8.7119
2000-09-12,6.9408,7.4084,8.4408
2000-09-13,6.7316,6.9398,8.2316
2000-09-14,7.3016,7.2119,8.8016
2000-09-15,6.7336,6.9408,8.2336
2000-09-16,6.9078,6.7316,8.4078
2000-09-17,7.0421,7.3016,8.5421
2000-09-18,6.8398,6.7336,8.3398
2000-09-19,6.5878,6.9078,8.0878
2000-09-20,6.6740,7.0421,8.1740
2000-09-21,6.6357,6.8398,8.1357
2000-09-22,6.7506,6.5878,8.2506
2000-09-23,6.1398,6.6740,7.6398
2000-09-24,6.4347,6.6357,7.9347
2000-09-25,6.1167,6.7506,7.6167
2000-09-26,6.0708,6.1398,7.5708
2000-09-27,6.3984,6.4347,7.8984
2000-09-28,6.1180,6.1167,7.6180
2000-09-29,6.0924,6.0708,7.5924
2000-09-30,6.1822,6.3984,7.6822
2000-10-01,6.2354,6.1180,7.7354
2000-10-02,5.7912,6.0924,7.2912
2000-10-03,5.8579,6.1822,7.3579
2000-10-04,5.7037,6.2354,7.2037
2000-10-05,5.6404,5.7912,7.1404
2000-10-06,5.7165,5.8579,7.2165
2000-10-07,5.4561,5.7037,6.9561
2000-10-08,5.4535,5.6404,6.9535
2000-10-09,5.3443,5.7165,6.8443
2000-10-10,5.6566,5.4561,7.1566
2000-10-11,5.4205,5.4535,6.9205
2000-10-12,5.5561,5.3443,7.0561
2000-10-13,5.6716,5.6566,7.1716
2000-10-14,5.3023,5.4205,6.8023
2000-10-15,5.8747,5.5561,7.3747
2000-10-16,6.6816,5.6716,8.1816
2000-10-17,7.2170,5.3023,8.7170
2000-10-18,7.2689,5.8747,8.7689
2000-10-19,7.6995,6.6816,9.1995
2000-10-20,8.0802,7.2170,9.5802
2000-10-21,7.5310,7.2689,9.0310
2000-10-22,7.0932,7.6995,8.5932
2000-10-23,6.2159,8.0802,7.7159
2000-10-24,5.9460,7.5310,7.4460
2000-10-25,5.4088,7.0932,6.9088
2000-10-26,5.0381,6.2159,6.5381
2000-10-27,4.1388,5.9460,5.6388
2000-10-28,4.3970,5.4088,5.8970
2000-10-29,4.2307,5.0381,5.7307
2000-10-30,3.7316,4.1388,5.2316
2000-10-31,4.2549,4.3970,5.7549
2000-11-01,4.2609,4.2307,5.7609
2000-11-02,3.6035,3.7316,5.1035
2000-11-03,4.1322,4.2549,5.6322
2000-11-04,3.6320,4.2609,5.1320
2000-11-05,3.6470,3.6035,5.1470
2000-11-06,3.9937,4.1322,5.4937
2000-11-07,3.8130,3.6320,5.3130
2000-11-08,3.2223,3.6470,4.7223
2000-11-09,3.3851,3.9937,4.8851
2000-11-10,3.3998,3.8130,4.8998
2000-11-11,3.2069,3.2223,4.7069
2000-11-12,3.0413,3.3851,4.5413
2000-11-13,3.0894,3.3998,4.5894
2000-11-14,3.3630,3.2069,4.8630
2000-11-15,2.7524,3.0413,4.2524
2000-11-16,3.1324,3.0894,4.6324
2000-11-17,2.9948,3.3630,4.4948
2000-11-18,2.6110,2.7524,4.1110
2000-11-19,2.8167,3.1324,4.3167
2000-11-20,3.0066,2.9948,4.5066
2000-11-21,2.8741,2.6110,4.3741
2000-11-22,2.4734,2.8167,3.9734
2000-11-23,3.1688,3.0066,4.6688
2000-11-24,2.9710,2.8741,4.4710
2000-11-25,3.0783,2.4734,4.5783
2000-11-26,2.3463,3.1688,3.8463
2000-11-27,2.4375,2.9710,3.9375
2000-11-28,2.2203,3.0783,3.7203
2000-11-29,2.7764,2.3463,4.2764
2000-11-30,2.3352,2.4375,3.8352
2000-12-01,2.1891,2.2203,3.6891
2000-12-02,2.3909,2.7764,3.8909
2000-12-03,2.7510,2.3352,4.2510
2000-12-04,2.6468,2.1891,4.1468
2000-12-05,2.1693,2.3909,3.6693
2000-12-06,2.0539,2.7510,3.5539
2000-12-07,2.6427,2.6468,4.1427
2000-12-08,2.3379,2.1693,3.8379
2000-12-09,2.4170,2.0539,3.9170
2000-12-10,1.9045,2.6427,3.4045
2000-12-11,1.8564,2.3379,3.3564
2000-12-12,2.3395,2.4170,3.8395
2000-12-13,2.1088,1.9045,3.6088
2000-12-14,1.8073,1.8564,3.3073
2000-12-15,2.4820,2.3395,3.9820
2000-12-16,2.2220,2.1088,3.7220
2000-12-17,2.3400,1.8073,3.8400
2000-12-18,1.7510,2.4820,3.2510
2000-12-19,2.3556,2.2220,3.8556
2000-12-20,1.7116,2.3400,3.2116
2000-12-21,2.3374,1.7510,3.8374
2000-12-22,2.0002,2.3556,3.5002
2000-12-23,1.8998,1.7116,3.3998
2000-12-24,2.0633,2.3374,3.5633
2000-12-25,2.3558,2.0002,3.8558
2000-12-26,1.8235,1.8998,3.3235
2000-12-27,1.7085,2.0633,3.2085
2000-12-28,2.0238,2.3558,3.5238
2000-12-29,1.7913,1.8235,3.2913
2000-12-30,1.6876,1.7085,3.1876
2000-12-31,1.7298,2.0238,3.2298
2001-01-01,1.6428,1.7913,3.1428
2001-01-02,1.7670,1.6876,3.2670
2001-01-03,1.8594,1.7298,3.3594
2001-01-04,1.8592,1.6428,3.3592
2001-01-05,2.2294,1.7670,3.7294
2001-01-06,1.8617,1.8594,3.3617
2001-01-07,2.0397,1.8592,3.5397
2001-01-08,1.7950,2.2294,3.2950
2001-01-09,1.9509,1.8617,3.4509
2001-01-10,1.7256,2.0397,3.2256
2001-01-11,1.9861,1.7950,3.4861
2001-01-12,1.9429,1.9509,3.4429
2001-01-13,2.7766,1.7256,4.2766
2001-01-14,3.0471,1.9861,4.5471
2001-01-15,3.3422,1.9429,4.8422
2001-01-16,4.2737,2.7766,5.7737
2001-01-17,5.3418,3.0471,6.8418
2001-01-18,5.2090,3.3422,6.7090
2001-01-19,5.9910,4.2737,7.4910
2001-01-20,5.5163,5.3418,7.0163
2001-01-21,5.0832,5.2090,6.5832
2001-01-22,4.7012,5.9910,6.2012
2001-01-23,3.6912,5.5163,5.1912
2001-01-24,3.2441,5.0832,4.7441
2001-01-25,3.0192,4.7012,4.5192
2001-01-26,3.0417,3.6912,4.5417
2001-01-27,2.4312,3.2441,3.9312
2001-01-28,2.7943,3.0192,4.2943
2001-01-29,2.7020,3.0417,4.2020
2001-01-30,2.6706,2.4312,4.1706
2001-01-31,2.5181,2.7943,4.0181
2001-02-01,2.5080,2.7020,4.0080
2001-02-02,2.3108,2.6706,3.8108
2001-02-03,2.4097,2.5181,3.9097
2001-02-04,2.4019,2.5080,3.9019
2001-02-05,2.9785,2.3108,4.4785
2001-02-06,2.6317,2.4097,4.1317
2001-02-07,2.6002,2.4019,4.1002
2001-02-08,2.5805,2.9785,4.0805
2001-02-09,3.2301,2.6317,4.7301
2001-02-10,3.2987,2.6002,4.7987
2001-02-11,3.1847,2.5805,4.6847
2001-02-12,2.9206,3.2301,4.4206
2001-02-13,2.9366,3.2987,4.4366
2001-02-14,3.0259,3.1847,4.5259
2001-02-15,3.2084,2.9206,4.7084
2001-02-16,3.0171,2.9366,4.5171
2001-02-17,3.2987,3.0259,4.7987
2001-02-18,3.2045,3.2084,4.7045
2001-02-19,3.8159,3.0171,5.3159
2001-02-20,3.8779,3.2987,5.3779
2001-02-21,3.5915,3.2045,5.0915
2001-02-22,3.4042,3.8159,4.9042
2001-02-23,4.0367,3.8779,5.5367
2001-02-24,3.5680,3.5915,5.0680
2001-02-25,3.6625,3.4042,5.1625
2001-02-26,3.4357,4.0367,4.9357
2001-02-27,3.7983,3.5680,5.2983
2001-02-28,3.9315,3.6625,5.4315
2001-03-01,4.0134,3.4357,5.5134
2001-03-02,3.8320,3.7983,5.3320
2001-03-03,4.1355,3.9315,5.6355
2001-03-04,3.7968,4.0134,5.2968
2001-03-05,4.0658,3.8320,5.5658
2001-03-06,3.9885,4.1355,5.4885
2001-03-07,4.2990,3.7968,5.7990
2001-03-08,4.0758,4.0658,5.5758
2001-03-09,4.1241,3.9885,5.6241
2001-03-10,4.4135,4.2990,5.9135
2001-03-11,4.4209,4.0758,5.9209
2001-03-12,4.7680,4.1241,6.2680
2001-03-13,4.7881,4.4135,6.2881
2001-03-14,5.0308,4.4209,6.5308
2001-03-15,5.0224,4.7680,6.5224
2001-03-16,5.1354,4.7881,6.6354
2001-03-17,5.3325,5.0308,6.8325
2001-03-18,5.0078,5.0224,6.5078
2001-03-19,5.0242,5.1354,6.5242
2001-03-20,5.6185,5.3325,7.1185
2001-03-21,5.0179,5.0078,6.5179
2001-03-22,5.5455,5.0242,7.0455
2001-03-23,5.5488,5.6185,7.0488
2001-03-24,5.1375,5.0179,6.6375
2001-03-25,5.8390,5.5455,7.3390
2001-03-26,5.9528,5.5488,7.4528
2001-03-27,5.8097,5.1375,7.3097
2001-03-28,5.9636,5.8390,7.4636
2001-03-29,6.0950,5.9528,7.5950
2001-03-30,5.6254,5.8097,7.1254
2001-03-31,6.0018,5.9636,7.5018
2001-04-01,6.0551,6.0950,7.5551
2001-04-02,6.3883,5.6254,7.8883
2001-04-03,6.4329,6.0018,7.9329
2001-04-04,6.5190,6.0551,8.0190
2001-04-05,6.3937,6.3883,7.8937
2001-04-06,6.7093,6.4329,8.2093
2001-04-07,6.6100,6.5190,8.1100
2001-04-08,6.6875,6.3937,8.1875
2001-04-09,6.3880,6.7093,7.8880
2001-04-10,6.3062,6.6100,7.8062
2001-04-11,6.4809,6.6875,7.9809
2001-04-12,6.7916,6.3880,8.2916
2001-04-13,6.7843,6.3062,8.2843
2001-04-14,7.6797,6.4809,9.1797
2001-04-15,7.9236,6.7916,9.4236
2001-04-16,8.6116,6.7843,10.1116
2001-04-17,9.3605,7.6797,10.8605
2001-04-18,10.1496,7.9236,11.6496
2001-04-19,10.5702,8.6116,12.0702
2001-04-20,10.4356,9.3605,11.9356
2001-04-21,10.9467,10.1496,12.4467
2001-04-22,10.4631,10.5702,11.9631
2001-04-23,9.6510,10.4356,11.1510
2001-04-24,9.0562,10.9467,10.5562
2001-04-25,8.6522,10.4631,10.1522
2001-04-26,7.8410,9.6510,9.3410
2001-04-27,8.1959,9.0562,9.6959
2001-04-28,7.7395,8.6522,9.2395
2001-04-29,7.5971,7.8410,9.0971
2001-04-30,7.7849,8.1959,9.2849
2001-05-01,8.2063,7.7395,9.7063
2001-05-02,7.8430,7.5971,9.3430
2001-05-03,8.3283,7.7849,9.8283
2001-05-04,8.5747,8.2063,10.0747
2001-05-05,8.2464,7.8430,9.7464
2001-05-06,8.2138,8.3283,9.7138
2001-05-07,8.3469,8.5747,9.8469
2001-05-08,8.5658,8.2464,10.0658
2001-05-09,8.6868,8.2138,10.1868
2001-05-10,8.6205,8.3469,10.1205
2001-05-11,8.6941,8.5658,10.1941
2001-05-12,8.2941,8.6868,9.7941
2001-05-13,8.4015,8.6205,9.9015
2001-05-14,8.5373,8.6941,10.0373
2001-05-15,8.9786,8.2941,10.4786
2001-05-16,8.6765,8.4015,10.1765
2001-05-17,8.9353,8.5373,10.4353
2001-05-18,8.5384,8.9786,10.0384
2001-05-19,8.6234,8.6765,10.1234
2001-05-20,8.8355,8.9353,10.3355
2001-05-21,9.2027,8.5384,10.7027
2001-05-22,9.2626,8.6234,10.7626
2001-05-23,9.2923,8.8355,10.7923
2001-05-24,9.0263,9.2027,10.5263
2001-05-25,9.2478,9.2626,10.7478
2001-05-26,9.2463,9.2923,10.7463
2001-05-27,9.2867,9.0263,10.7867
2001-05-28,9.0464,9.2478,10.5464
2001-05-29,9.7036,9.2463,11.2036
2001-05-30,9.1841,9.2867,10.6841
2001-05-31,9.8423,9.0464,11.3423
2001-06-01,9.8428,9.7036,11.3428
2001-06-02,9.1408,9.1841,10.6408
2001-06-03,9.5259,9.8423,11.0259
2001-06-04,9.8455,9.8428,11.3455
2001-06-05,9.9939,9.1408,11.4939
2001-06-06,9.6078,9.5259,11.1078
2001-06-07,9.4908,9.8455,10.9908
2001-06-08,9.4703,9.9939,10.9703
2001-06-09,10.0844,9.6078,11.5844
2001-06-10,9.5209,9.4908,11.0209
2001-06-11,9.8408,9.4703,11.3408
2001-06-12,9.5112,10.0844,11.0112
2001-06-13,9.8381,9.5209,11.3381
2001-06-14,10.2009,9.8408,11.7009
2001-06-15,9.5636,9.5112,11.0636
2001-06-16,10.1313,9.8381,11.6313
2001-06-17,9.8986,10.2009,11.3986
2001-06-18,10.2164,9.5636,11.7164
2001-06-19,10.0838,10.1313,11.5838
2001-06-20,9.7193,9.8986,11.2193
2001-06-21,10.2642,10.2164,11.7642
2001-06-22,9.9456,10.0838,11.4456
2001-06-23,9.5861,9.7193,11.0861
2001-06-24,9.5774,10.2642,11.0774
2001-06-25,9.9751,9.9456,11.4751
2001-06-26,9.9483,9.5861,11.4483
2001-06-27,9.8341,9.5774,11.3341
2001-06-28,9.7087,9.9751,11.2087
2001-06-29,9.8737,9.9483,11.3737
2001-06-30,9.8527,9.8341,11.3527
2001-07-01,10.2721,9.7087,11.7721
2001-07-02,9.6002,9.8737,11.1002
2001-07-03,10.1971,9.8527,11.6971
2001-07-04,10.2643,10.2721,11.7643
2001-07-05,9.6844,9.6002,11.1844
2001-07-06,10.3237,10.1971,11.8237
2001-07-07,10.1462,10.2643,11.6462
2001-07-08,10.2897,9.6844,11.7897
2001-07-09,9.7940,10.3237,11.2940
2001-07-10,9.8587,10.1462,11.3587
2001-07-11,9.8889,10.2897,11.3889
2001-07-12,10.4218,9.7940,11.9218
2001-07-13,10.2102,9.8587,11.7102
2001-07-14,10.2558,9.8889,11.7558
2001-07-15,10.6924,10.4218,12.1924
2001-07-16,11.1188,10.2102,12.6188
2001-07-17,11.6026,10.2558,13.1026
2001-07-18,12.3053,10.6924,13.8053
2001-07-19,13.3791,11.1188,14.8791
2001-07-20,13.1070,11.6026,14.6070
2001-07-21,13.4147,12.3053,14.9147
2001-07-22,12.3331,13.3791,13.8331
2001-07-23,11.6412,13.1070,13.1412
2001-07-24,11.1269,13.4147,12.6269
2001-07-25,10.2763,12.3331,11.7763
2001-07-26,9.9955,11.6412,11.4955
2001-07-27,10.1884,11.1269,11.6884
2001-07-28,9.9701,10.2763,11.4701
2001-07-29,9.8193,9.9955,11.3193
2001-07-30,9.6162,10.1884,11.1162
2001-07-31,9.7991,9.9701,11.2991
2001-08-01,9.7829,9.8193,11.2829
2001-08-02,9.4329,9.6162,10.9329
2001-08-03,9.5320,9.7991,11.0320
2001-08-04,8.9580,9.7829,10.4580
2001-08-05,9.4654,9.4329,10.9654
2001-08-06,9.2003,9.5320,10.7003
2001-08-07,9.4009,8.9580,10.9009
2001-08-08,9.2726,9.4654,10.7726
2001-08-09,8.9432,9.2003,10.4432
2001-08-10,8.7098,9.4009,10.2098
2001-08-11,9.3675,9.2726,10.8675
2001-08-12,8.6825,8.9432,10.1825
2001-08-13,8.9120,8.7098,10.4120
2001-08-14,8.7620,9.3675,10.2620
2001-08-15,8.6773,8.6825,10.1773
2001-08-16,8.9814,8.9120,10.4814
2001-08-17,9.1215,8.7620,10.6215
2001-08-18,8.4981,8.6773,9.9981
2001-08-19,8.7634,8.9814,10.2634
2001-08-20,8.4272,9.1215,9.9272
2001-08-21,8.5795,8.4981,10.0795
2001-08-22,8.3955,8.7634,9.8955
2001-08-23,8.1595,8.4272,9.6595
2001-08-24,8.0999,8.5795,9.5999
2001-08-25,8.0811,8.3955,9.5811
2001-08-26,8.5831,8.1595,10.0831
2001-08-27,8.1989,8.0999,9.6989
2001-08-28,7.9195,8.0811,9.4195
2001-08-29,8.4100,8.5831,9.9100
2001-08-30,8.4232,8.1989,9.9232
2001-08-31,7.9264,7.9195,9.4264
2001-09-01,7.6179,8.4100,9.1179
2001-09-02,7.5993,8.4232,9.0993
2001-09-03,7.4567,7.9264,8.9567
2001-09-04,7.5958,7.6179,9.0958
2001-09-05,7.3328,7.5993,8.8328
2001-09-06,7.3883,7.4567,8.8883
2001-09-07,7.3404,7.5958,8.8404
2001-09-08,7.5256,7.3328,9.0256
2001-09-09,7.7155,7.3883,9.2155
2001-09-10,7.5408,7.3404,9.0408
2001-09-11,7.2063,7.5256,8.7063
2001-09-12,7.1418,7.7155,8.6418
2001-09-13,7.1643,7.5408,8.6643
2001-09-14,6.9803,7.2063,8.4803
2001-09-15,6.8830,7.1418,8.3830
2001-09-16,6.5953,7.1643,8.0953
2001-09-17,6.7007,6.9803,8.2007
2001-09-18,7.1856,6.8830,8.6856
2001-09-19,6.4446,6.5953,7.9446
2001-09-20,6.6789,6.7007,8.1789
2001-09-21,6.7120,7.1856,8.2120
2001-09-22,6.8305,6.4446,8.3305
2001-09-23,6.2447,6.6789,7.7447
2001-09-24,6.2204,6.7120,7.7204
